flow_id,location_id,vehicle_count,traffic_flow_date,traffic_flow_time
1,1,418,2025-02-15,22:08:31
2,2,992,2025-02-05,18:12:09
3,3,793,2025-02-17,07:56:45
4,4,804,2025-02-28,05:24:57
5,5,190,2025-02-26,03:51:13
6,6,836,2025-01-29,13:06:11
7,7,735,2025-01-17,16:34:50
8,8,415,2025-01-28,03:56:05
9,9,510,2025-01-15,04:42:43
10,10,295,2025-01-06,02:52:23
11,11,198,2025-02-03,00:42:42
12,12,955,2025-01-03,00:00:29
13,13,698,2025-01-14,08:37:43
14,14,465,2025-01-05,14:26:25
15,15,722,2025-02-03,03:57:26
16,16,423,2025-01-23,15:23:48
17,17,128,2025-02-25,05:24:20
18,18,345,2025-01-02,08:39:06
19,19,537,2025-01-15,08:49:20
20,20,948,2025-02-22,19:14:13
21,21,463,2025-01-17,08:50:10
22,22,259,2025-02-23,21:29:10
23,23,106,2025-02-20,23:04:20
24,24,340,2025-01-19,18:34:36
25,25,153,2025-01-18,20:31:54
26,26,838,2025-02-09,12:42:49
27,27,501,2025-01-23,13:14:02
28,28,133,2025-01-15,15:21:10
29,29,127,2025-02-24,07:18:02
30,30,303,2025-03-02,16:50:59
31,31,544,2025-01-12,23:28:58
32,32,695,2025-01-28,03:30:46
33,33,560,2025-02-08,06:11:27
34,34,877,2025-02-28,08:21:43
35,35,914,2025-02-02,21:08:21
36,36,118,2025-01-05,02:31:14
37,37,250,2025-01-25,00:11:57
38,38,461,2025-03-01,02:38:31
39,39,70,2025-01-04,22:21:50
40,40,537,2025-02-16,00:31:05
41,41,784,2025-01-02,12:35:08
42,42,503,2025-02-04,19:37:03
43,43,345,2025-02-08,22:52:48
44,44,663,2025-01-25,11:19:14
45,45,259,2025-02-04,17:13:58
46,46,528,2025-02-23,06:14:18
47,47,75,2025-01-15,10:17:42
48,48,890,2025-02-24,06:54:39
49,49,790,2025-02-07,08:20:01
50,50,418,2025-02-11,02:54:09
51,51,704,2025-01-09,10:47:08
52,52,71,2025-01-05,08:28:46
53,53,702,2025-01-23,05:00:10
54,54,346,2025-02-23,19:56:15
55,55,754,2025-01-02,15:20:32
56,56,852,2025-02-02,18:17:05
57,57,492,2025-01-07,05:41:08
58,58,606,2025-02-19,20:20:49
59,59,460,2025-02-28,07:49:24
60,60,375,2025-01-05,18:25:11
61,61,908,2025-01-29,20:46:20
62,62,895,2025-01-04,02:31:53
63,63,726,2025-01-14,01:36:19
64,64,647,2025-01-30,07:02:53
65,65,686,2025-02-21,02:54:01
66,66,508,2025-01-14,16:11:56
67,67,639,2025-01-11,23:59:52
68,68,799,2025-02-02,00:11:32
69,69,879,2025-02-21,18:36:30
70,70,697,2025-02-24,05:45:41
71,71,865,2025-01-19,18:38:52
72,72,765,2025-02-27,23:23:45
73,73,239,2025-02-23,00:49:44
74,74,656,2025-02-08,07:43:48
75,75,533,2025-02-24,08:06:11
76,76,101,2025-01-26,01:59:37
77,77,845,2025-02-02,09:04:17
78,78,673,2025-02-20,08:49:10
79,79,957,2025-01-26,10:37:20
80,80,488,2025-01-20,04:11:03
81,81,473,2025-02-16,12:10:00
82,82,535,2025-01-30,02:19:42
83,83,678,2025-01-13,00:56:03
84,84,764,2025-01-25,07:35:29
85,85,223,2025-01-16,22:12:28
86,86,838,2025-01-14,01:21:04
87,87,899,2025-02-04,13:07:37
88,88,847,2025-02-23,18:12:21
89,89,168,2025-01-11,15:05:08
90,90,838,2025-02-23,15:36:27
91,91,336,2025-02-19,06:16:07
92,92,988,2025-02-08,13:10:04
93,93,479,2025-02-28,12:28:17
94,94,562,2025-01-08,15:06:35
95,95,829,2025-01-01,12:23:07
96,96,675,2025-03-01,03:26:38
97,97,846,2025-02-20,20:47:23
98,98,77,2025-02-25,01:40:20
99,99,883,2025-02-20,14:11:54
100,100,234,2025-02-05,00:57:34
101,66,78,2025-01-19,17:24:13
102,67,195,2025-01-07,05:33:06
103,68,958,2025-01-13,15:32:48
104,69,194,2025-02-08,02:34:27
105,70,896,2025-02-09,03:39:21
106,71,716,2025-01-12,16:14:49
107,72,201,2025-01-27,09:28:48
108,66,813,2025-02-13,21:15:24
109,67,57,2025-02-23,20:52:34
110,68,64,2025-02-17,20:07:26
111,69,316,2025-02-27,02:51:15
112,70,323,2025-01-31,19:24:48
113,71,588,2025-01-22,19:27:54
114,72,544,2025-02-15,14:40:00
115,25,256,2025-02-13,05:46:08
116,26,302,2025-01-01,12:37:40
117,27,811,2025-03-01,12:12:40
118,28,594,2025-02-14,07:41:49
119,29,642,2025-02-26,14:17:44
120,1,478,2025-02-12,10:49:46
121,2,355,2025-01-12,21:33:20
122,3,940,2025-02-07,07:54:21
123,4,258,2025-01-18,17:46:39
124,5,964,2025-01-25,20:22:49
125,1,856,2025-02-02,19:31:28
126,2,528,2025-01-25,08:22:45
127,3,799,2025-02-26,01:10:48
128,4,411,2025-02-19,06:23:09
129,5,278,2025-02-04,12:25:10
130,7,360,2025-02-17,01:58:28
131,8,428,2025-01-06,17:55:58
132,9,95,2025-01-05,16:48:27
133,10,342,2025-01-07,01:01:21
134,11,949,2025-02-27,19:14:45
135,12,376,2025-02-18,11:31:25
136,31,879,2025-01-22,11:30:45
137,32,168,2025-01-29,04:19:02
138,33,763,2025-01-27,02:44:51
139,34,762,2025-01-26,21:26:21
140,35,171,2025-01-01,02:54:05
141,36,629,2025-01-22,09:57:03
142,37,431,2025-01-20,01:21:02
143,86,342,2025-01-02,21:35:21
144,87,102,2025-01-29,18:45:44
145,88,300,2025-02-03,23:00:53
146,89,740,2025-02-06,07:58:52
147,90,167,2025-02-10,02:33:16
148,65,619,2025-02-06,22:57:51
149,68,911,2025-02-21,06:01:55
150,69,287,2025-02-10,00:06:27
